age,workclass,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
44,Private,8,Divorced,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,0,40,South
33,Private,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
56,Private,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,30,United-States
29,Private,13,Never-married,Sales,Not-in-family,White,Male,6849,0,48,United-States
57,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,Mexico
49,Federal-gov,11,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,45,United-States
42,Federal-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States
29,Private,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States
49,?,9,Never-married,?,Not-in-family,Black,Male,0,0,40,United-States
23,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
51,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States
22,?,13,Never-married,?,Not-in-family,White,Female,0,0,23,United-States
40,Local-gov,13,Divorced,Prof-specialty,Unmarried,White,Female,5455,0,40,United-States
21,Private,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
31,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
26,Private,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,45,United-States
26,Private,9,Married-spouse-absent,Protective-serv,Not-in-family,White,Male,0,0,40,United-States
21,Private,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
21,Private,10,Never-married,Other-service,Own-child,Asian-Pac-Islander,Male,0,0,20,United-States
31,Private,9,Never-married,Transport-moving,Own-child,Black,Male,0,0,40,United-States
53,Private,7,Divorced,Craft-repair,Other-relative,White,Female,0,0,40,United-States
46,Self-emp-not-inc,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
51,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States
40,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,35,United-States
51,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,1902,50,United-States
21,Private,10,Never-married,Craft-repair,Own-child,White,Male,0,0,25,United-States
61,Private,7,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,36,United-States
32,Private,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,35,Mexico
54,Private,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States
27,Private,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
19,Private,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,50,United-States
37,Local-gov,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
25,Private,9,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States
23,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
36,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States
25,Private,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States
43,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,40,England
31,Private,11,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States
25,Private,9,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States
71,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,16,United-States
23,Private,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States
35,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
33,Private,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
65,Private,9,Widowed,Priv-house-serv,Unmarried,Black,Female,0,0,20,United-States
25,Private,13,Never-married,Sales,Not-in-family,White,Female,0,0,16,United-States
33,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
44,Private,12,Married-civ-spouse,Sales,Husband,White,Male,7688,0,40,United-States
36,Private,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,50,United-States
30,Self-emp-not-inc,10,Divorced,Prof-specialty,Unmarried,White,Male,0,0,50,United-States
26,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
29,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1848,60,Germany
24,Private,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States
31,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
70,Self-emp-inc,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
22,Private,7,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States
50,Private,9,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States
35,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40,United-States
51,?,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States
53,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1902,40,United-States
44,Private,5,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States
43,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
44,Private,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,55,United-States
61,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States
24,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
33,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
20,?,10,Never-married,?,Own-child,White,Female,0,0,20,United-States
77,Self-emp-not-inc,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
68,Local-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,20051,0,40,United-States
32,Self-emp-inc,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,77,United-States
57,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,35,India
18,Private,10,Never-married,Other-service,Own-child,White,Male,0,0,37,United-States
18,Private,10,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,20,United-States
47,Private,11,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States
45,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
29,Private,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,65,United-States
26,Private,9,Never-married,Other-service,Other-relative,Black,Female,0,0,40,United-States
34,Private,11,Never-married,Other-service,Not-in-family,White,Male,0,0,50,?
52,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States
43,Private,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,38,United-States
69,Private,9,Widowed,Handlers-cleaners,Not-in-family,White,Female,0,0,8,United-States
21,Private,7,Never-married,Other-service,Unmarried,White,Male,0,0,40,United-States
66,?,9,Widowed,?,Unmarried,White,Female,0,0,40,United-States
41,Local-gov,10,Divorced,Other-service,Unmarried,White,Female,0,0,45,United-States
18,?,10,Never-married,?,Own-child,White,Male,0,0,10,United-States
34,?,13,Married-civ-spouse,?,Husband,White,Male,0,0,30,United-States
18,Private,10,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States
28,?,10,Never-married,?,Own-child,Black,Female,0,0,40,United-States
23,Private,12,Never-married,Adm-clerical,Other-relative,White,Female,0,0,70,United-States
42,Private,14,Never-married,Exec-managerial,Not-in-family,White,Female,4650,0,40,United-States
31,Private,13,Widowed,Sales,Unmarried,White,Female,0,1380,40,Cuba
22,Private,10,Never-married,Sales,Other-relative,White,Female,0,0,18,United-States
61,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States
45,Private,13,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines
32,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5178,0,40,United-States
32,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
69,Private,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,6,United-States
38,Private,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,Italy
27,Private,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
48,Private,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States
48,Private,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,10,United-States
51,Local-gov,9,Never-married,Other-service,Not-in-family,Black,Male,0,0,40,United-States
43,Self-emp-not-inc,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
35,Private,7,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States
37,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,45,United-States
24,Private,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States
30,Private,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,55,United-States
26,Private,10,Separated,Farming-fishing,Own-child,White,Male,0,0,40,United-States
48,Private,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States
44,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
69,Self-emp-not-inc,6,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,3273,0,45,United-States
61,Local-gov,14,Never-married,Prof-specialty,Unmarried,White,Female,0,0,25,United-States
41,Private,15,Divorced,Prof-specialty,Unmarried,White,Female,0,0,38,United-States
28,Federal-gov,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,40,United-States
53,Self-emp-not-inc,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,35,Vietnam
60,?,6,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States
26,Self-emp-inc,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States
55,Self-emp-inc,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,10,United-States
51,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
33,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States
53,Private,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,80,United-States
55,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States
28,Private,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,16,United-States
33,Private,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico
21,?,10,Never-married,?,Not-in-family,White,Male,0,0,40,United-States
39,Private,10,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,0,0,38,United-States
39,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States
32,State-gov,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,48,United-States
50,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
48,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
66,State-gov,9,Widowed,Prof-specialty,Unmarried,Black,Female,0,0,35,United-States
42,Private,3,Separated,Adm-clerical,Other-relative,White,Male,0,0,40,El-Salvador
50,Private,9,Married-civ-spouse,Sales,Husband,White,Male,0,1887,55,United-States
44,Private,10,Divorced,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
42,Private,9,Divorced,Other-service,Own-child,White,Female,0,0,15,United-States
45,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,52,United-States
26,Local-gov,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States
53,Private,4,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States
49,State-gov,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
44,Private,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
24,Private,9,Separated,Other-service,Unmarried,White,Female,0,0,50,Portugal
24,Private,10,Never-married,Other-service,Unmarried,White,Female,0,0,20,United-States
54,Private,10,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States
38,Private,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States
68,Private,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,32,United-States
44,Private,9,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States
41,Private,9,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States
35,Private,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
44,Private,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States
30,Private,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,30,United-States
46,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,45,United-States
27,State-gov,13,Never-married,Prof-specialty,Not-in-family,Black,Female,0,0,60,United-States
48,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States
40,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States
38,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
29,Private,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States
41,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
31,Private,4,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,50,United-States
47,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States
48,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,7298,0,60,United-States
22,State-gov,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States
48,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
31,Private,9,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,45,United-States
39,Federal-gov,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
56,Private,9,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,48,United-States
34,Private,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,50,United-States
34,?,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States
51,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
42,State-gov,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States
42,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States
23,Private,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
47,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States
38,Private,6,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States
47,Private,7,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States
47,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,44,United-States
33,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
45,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States
31,State-gov,8,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States
28,Private,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,1485,40,United-States
57,Self-emp-inc,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States
53,Private,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,28,United-States
90,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
51,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,43,United-States
46,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
48,Private,10,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
19,Private,9,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States
35,Private,9,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,0,40,Cambodia
36,State-gov,13,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States
33,Private,7,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,38,United-States
65,Private,7,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,20,United-States
20,Private,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,15,United-States
39,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,50,United-States
88,Self-emp-not-inc,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,6418,0,40,United-States
53,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States
74,Self-emp-not-inc,16,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,25,United-States
35,Private,16,Married-spouse-absent,Prof-specialty,Not-in-family,Other,Male,0,0,60,England
61,?,13,Married-civ-spouse,?,Husband,White,Male,0,0,10,United-States
23,?,9,Never-married,?,Other-relative,Asian-Pac-Islander,Female,0,0,20,South
38,Private,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
47,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States
19,Private,9,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States
46,Federal-gov,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
43,State-gov,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States
48,Private,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States
47,Local-gov,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States
48,Private,7,Separated,Other-service,Not-in-family,Black,Female,0,0,35,United-States
17,Local-gov,6,Never-married,Prof-specialty,Own-child,White,Female,0,0,10,United-States
17,Private,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States
27,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
56,Self-emp-inc,9,Married-civ-spouse,Sales,Husband,White,Male,0,1902,40,United-States
39,Local-gov,9,Divorced,Adm-clerical,Own-child,White,Male,0,0,42,United-States
34,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,60,United-States
38,Private,14,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
59,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States
45,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?
34,Local-gov,9,Divorced,Protective-serv,Unmarried,White,Male,0,0,40,Portugal
43,Private,3,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,40,Mexico
30,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1848,50,United-States
31,Private,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,20,United-States
18,?,10,Never-married,?,Own-child,White,Female,0,0,20,?
37,Private,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
46,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,38,United-States
41,Private,9,Divorced,Sales,Unmarried,Black,Female,0,0,40,United-States
51,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States
30,Private,13,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,40,China
22,Private,9,Married-spouse-absent,Sales,Not-in-family,White,Male,0,1719,40,United-States
42,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,0,213,40,United-States
32,Private,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
54,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
34,State-gov,10,Divorced,Protective-serv,Unmarried,Black,Male,0,0,47,United-States
41,Private,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,?
40,Private,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,El-Salvador
47,Private,9,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States
21,Private,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
25,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States
40,Private,11,Widowed,Adm-clerical,Unmarried,White,Female,0,0,30,United-States
19,Self-emp-not-inc,10,Never-married,Other-service,Own-child,White,Female,0,0,25,United-States
40,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1887,40,United-States
29,Private,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,18,United-States
22,Private,9,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States
30,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States
49,Private,9,Divorced,Other-service,Unmarried,White,Female,0,0,35,United-States
37,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40,United-States
34,Private,14,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States
18,Private,10,Never-married,Handlers-cleaners,Own-child,Other,Male,0,0,30,United-States
50,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1848,48,United-States
50,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States
51,Private,9,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States
20,Private,10,Never-married,Sales,Other-relative,White,Female,0,0,40,United-States
20,Private,10,Never-married,Prof-specialty,Not-in-family,Other,Female,0,0,20,United-States
49,Private,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,50,United-States
38,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
25,Private,8,Married-civ-spouse,Farming-fishing,Husband,Other,Male,0,0,60,Mexico
43,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States
46,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,32,United-States
49,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,Greece
23,Private,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States
45,?,6,Divorced,?,Unmarried,White,Female,0,0,40,United-States
56,Private,6,Separated,Other-service,Unmarried,White,Female,0,0,32,United-States
43,Private,15,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States
53,Private,9,Widowed,Craft-repair,Unmarried,White,Male,0,0,40,United-States
27,Local-gov,13,Never-married,Protective-serv,Not-in-family,White,Female,0,0,32,United-States
40,Private,11,Married-civ-spouse,Tech-support,Husband,White,Male,4386,0,40,United-States
39,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States
22,Private,9,Divorced,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States
